track_name,artist,album,year
Keep Walking,The Wilburns,More Than Religion,1936
4 Words (To Choke Upon),Bullet For My Valentine,The Poison,2005
The Carnival  feat. Japjit Kaur,Niraj Chag,Revolution Rising: ethnotechno.com vol.1 presented by dimmSummer,1979
Is It Wrong,Warner mack,True Country,2010
learn (Album Version),One Be Lo,Everything,1964
Xenophobic Hate Machine,Bodies In the Gears of the Apparatus,Split CD,2005
Lay All Your Love On Me (LP Version),Information Society,Hits,1960
Ella Speed,Rick Ross,Fireflies in the Rain,1962
Chatma,Tinariwen,Amassakoul,2003
The way to Peace,Uman,You Are Here,1989
How It Begins,Ice & Breeze,My Turn,1935
bChanson DAmour,Jean-Jacques Goldman;Edith Lefel;Malavoi,Le Meilleur de Edith Lefel,1945
My Love,Irish Tenors,Sacred,2007
The Cool (Amended Album Version),Lupe Fiasco,bLupe Fiascos Food & Liquor,1933
Roses,Silverchair,Freak Show,1997
Le Droit Des P\xc3\xa8res (Live Electrique),Cali,Le Bruit De Ma Vie,1933
Long Way From Home,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,The Essential Stevie Ray Vaughan And Double Trouble,1990
He Was Here,Scott Krippayne,It Goes Like This,1996
Love & Understanding,Lady Saw,Give Me The Reason,1996
Cry Of My Heart,Wayne Watson,Living Room,1935
In Hell (Album Version),A Perfect Murder,War Of Aggression,2007
Up Jumped The Devil - Live,Clarence Gatemouth Brown,Live,1942
We Are The Ones (Lounge Version),Zombie Girl,bBlood_ Brains_ & RockNRoll (Limited),2007
bWere Not Gonna Bow,Jeff And Sheri Easter,Ordinary Day,1988
bMefistofele/Spunta... laurora pallida...,Mich\xc3\xa8le Crider;Vincenzo La Scola;Samuel Ramey;Riccardo Muti,Mefistofele,2005
bRalphs Rhapsody,Ray Lynch,The Best Of Ray Lynch,1998
Va Por Usted,Rocio Jurado,La Copla,1933
The last havoc,Necrodaemon,Prophecy Of The Decadent,1949
Stand By Me,Atomic Rooster,Made In England,1972
Brooklyn On A Saturday Night,Neil Diamond,Primitive,1984
Le Bug (Live 2005),M,En T\xc3\xaate-A-T\xc3\xaate,1967
El Gato Confite,Mar\xc3\xada Elena Walsh,Todos Cantamos Con Maria Elena,1930
Volvere,OV7,CD00,2000
bLost in Marrakesh with Entropik (Pathaans Mirage Mix),Ancient Astronauts,Put Em Up EP,1998
Estimate,Slum Village,Fan-Tas-Tic Vol. 1,1997
Suburban Living,Yuppie Pricks,Initial Public Offering,1989
Badrock City,Big Audio Dynamite,No. 10_ Upping St.,1986
The Lakes Of Pontchartrain,Planxty,The Planxty Collection,1988
Fly Away (Instrumental),HardNox,Fly Away,1942
Psalm 27,Donnie McClurkin,Live in London and More ..,2000
Chicago Bound Blues,Bessie Smith,Queen Of The Blues: Volume 1 B,1991
Herz an herz (Live Version),Paso Doble,Hautnah,2002
Papa Legba (2005 Digital Remaster),Talking Heads,True Stories,1986
I Know Where I Am Now,Jake Hess,Special Homecoming Moments,2004
Liquid Mercury,Jimmy Page,Outrider,1988
Falling Stars,Desert Dwellers,ASUDHA - Yoga Dub Grooves,1970
bWaitin For The Wind,Spooky Tooth,The Best Of Spooky Tooth,1969
Your Revolution Is A Joke,Funeral For A Friend,Casually Dressed And Deep In Conversation,2003
Q Loop,Basic Channel,BCD,1995
Neon Psychedelia,Sweet,Sweetlife,1962
CrossBreed,Sound Field,bAudio Surfin,1956
Make It Last,The Ataris,...Anywhere But Here,1997
bIm Blue (LP Version),The Rascals,See,1979
Origins And Endings,Winds Of Plague,Decimate The Weak,2008
Sinc\xc3\xa9rit\xc3\xa9 (feat. Ludo),Leila Chicot,Renaissance,1973
Stainless Steel Gamelan,John Cale,Stainless Gamelan: Inside The Dream Syndicate Vol. Iii,1964
50_000 Miles Beneath My Brain (Live),Ten Years After,Live At The Filmore East,2008
Baby Mama,Camp Lo,The Best of Camp Lo Vol. 2,1941
American Girl,Brooke Valentine,Chain Letter,2005
Red Castle,Pumpkin Buzzard,Perfect Dragon,1941
Liian v\xc3\xa4h\xc3\xa4n aikaa,Fredi,20 Suosikkia / Kun rakkaus voittaa,1930
22 Going On 23,Butthole Surfers,Locust Abortion Technician,1987
Private Dancer,Heavy D,Vibes,2008
DJs Are The New Rockstars-Live Mashup Mix 7,DJ Godfather,DJs Are The New Rock Stars-Live Mashup Mix,2001
Lappi Pt IV Eti\xc3\xa4inen,Nightwish,Angels Fall First,1997
Michael Nobody aka Poetic Death,Snowgoons,A Fist In The Thought,2009
Estoy Aqu\xc3\xad,Shakira,The Remixes,1995
Mirame A La Cara (Version Salsa),Andy & Lucas,Andy & Lucas (En Su Salsa),1986
Shake That Thang,DJ Omega,Shake That Thang Remixes,1983
Free,Darwin Hobbs,WOW Gospel 2010,1992
I Want You,Sophie B. Hawkins,The Best Of Sophie B. Hawkins,1992
Malice,Behemoth,Thelema 6,2000
bWhy Dont You Do Right (Album Version),Jim Kweskin with Samoa Wilson,Now And Again,2009
bIt Aint No Use,Jimmy McCracklin,bBlues Blastin: The Modern Recordings Vol 2,1952
Red Gun,The Forms,The Forms,2007
Ride Out Dip,Crucial Conflict,Planet CruCon,2008
Tuck That Sh*t,Messy Marv,Prices On My Head: Thug Money On Yo Family_ Vol. 2,1940
Arco Arena,Cake,Comfort Eagle,2001
Pictures To Prove It,The Mighty Mighty Bosstones,Question The Answers,1994
Stop The World,bRIDDLIN KIDS,Stop The World,2004
bBaby Please Dont,Tampa Red,Tampa Red Vol. 15 1951-1953,2003
bThings I Dont Understand,Coldplay,Speed Of Sound,2005
Mi Gitana (feat. The Dey),Los Del Rio_ The D.E.Y.,Quincea\xc3\xb1era Macarena,1970
Hold On (Album Version),The Rance Allen Group,All the Way,1942
bI Cant Rest,Fontella Bass,Rescued : The Best Of Fontella Bass,2006
Love Island (LP Version),Eumir Deodato,VELVET LOVE,2006
You Are Everything,Regina Belle,bReachin Back,1995
Wo Ai Ni_ Zai Jian!,Sammi Cheng,La La La,2004
A Piece Of My Heart,Gang Of Four,Hard,1983
Nostalgia for Infinity,Jonn Serrie,Thousand Star,1999
Marvel Hill,The Cardigans,Gran Turismo,1998
bLets Get High (Yves Larock Radio Edit w Rap),Anane,bLets Get High,1946
Raindrops Keep Falling On My Head,David Arkenstone,Dream Palace,1972
Live Then Lay,Naughty By Nature featuring Phiness,bNineteen Naughty Nine Natures Fury,1998
Got The Blues,Blind Lemon Jefferson,The Complete Classic Sides Remastered: Chicago 1926 Disc A,1926
Turn Yourn Radio On,Andy Griffith,Somebody Bigger Than You And I,1994
Serenata,Tranzas,Serenata,1963
Donnez-nous des jardins,Pierre Perret,Pierrot chante pour les gamins_ les marmots...,1975
Love Is What We Make It,Kenny Rogers,Very Best Of Kenny Rogers,1999
So Long (Originally Performed by Abba),The Meatmen,Cover the Earth,1942
Mr. Crump,Mum,The Szabotnik 15 Mission,2000
Brown Eyed Girl,The Sonics_ Charlie & The Tunas,The Sonics Meet Charlie & The Tunas,1975
Start Me Up,The Rolling Stones,Live Licks,1981
bCest pour vous que je chante,Les Hou-Lops,bVendredi mobs\xc3\xa8de,1974
New Round And Round,Casey Bill Weldon,Casey Bill Weldon Vol. 3 1937-1938,1995
Lucky Fellow - Original,Leroy Hutson,Leroy Hutson Selected Hits Vol. 2,1950
Mi Vida Se Pinto De Gris,Yndio,Lo Basico,1940
Good Morning Captain,The Black Crowes,Before the Frost... Until the Freeze,2009
Jumke,Sukshinder Shinda,The Way It Is,1988
Coffee Blues,Mississippi John Hurt,Blues Routes Mississippi John Hurt,1966
Human Being,The New York Dolls,Too Much Too Soon,1974
No Love To Give (LP Version),The Rascals,Collections,1999
bWords- Till the mornin comes Mix,Liquid Spill,Words,1989
Please Love Me,B.B. King,The Very Best Of The Early Years,1956
Reefer Head Woman,Aerosmith,Night In The Ruts,1979
bAint She Sweet,The Beatles / Tony Sheridan,Total 60s,1964
Bside,Various Production,Tricycle EP,2009
Twist Y Gritos (Twist & Shout),Los Fabulosos Cadillacs,El Ritmo Mundial,1988
Immigrant Song (Album Version),Led Zeppelin,Led Zeppelin III,1970
The Power Of,Nora,Split - EP,1985
Festival Of Holi,Brian Tyler,Partition,2007
Having A Little Talk With Jesus,Brenda Lee,The Gospel Side Of Brenda Lee,1950
Kuolema Tekee Taiteilijan,Nightwish,Once,2004
Tennessee Central Number Nine,Pee Wee King,Country_ Honky Tonk and Hillbilly Classic,1989
bDont Stop,Scweez,Rich Kidd Compilation Volume 3 Running the Game,1964
Soda Pop,John Fogerty,Eye Of The Zombie,1986
It Must Be Everywhere (Complete Version),Nazz,13th And Pine,2006
Mon Legionnaire,Marcel Azzola,bLAccordeoniste,1985
You Were There,Fl\xc3\xa4skkvartetten / Daniel Bellqvist,Voices of Eden,1985
BOOM!!!,Albin Myers,Defected In The House Ibiza 09,1959
Other Side of You,DJ Harry,Collision,2004
Kissing Game,2XL,Neighborhood Rapstar,1949
Un Minuto Contigo (One Moment),Edmundo Ros,The Latin Sounds of Edmundo Ros,1957
\xc2\xa1Hola_ Peque\xc3\xb1o Ser!,Pescado Rabioso,Pescado Rabioso 2,1973
Everyday Struggle (Bonus),Agency 1.9.9.4,Undergrounds Series Vol. 1: Dayz Of Our Livez,1945
bEverybodys Someone (Gateway Mix),Leann Rimes & Brian McFadden,bEverybodys Someone,1956
Man Smart Woman Smarter,Robert Palmer,Gold,1967
Gloria (In The Name Of Love Album Version),Audio Adrenaline,In The Name Of Love,1993
Two of a Kind,Frost,Cursed Again & Talking To God,1949
Shen Lai,Dylan Kuo,Not Anymore,1978
The Preacher,The Bronx Horns,Silver In the Bronx,1989
Principe Nino,Gonzalo Rubalcaba,Mi Gran Pasion,1970
Blues All Around My Bed,Precious Bryant,Fool Me Good,2002
Paper Thin,Leona Naess,Comatised,2000
Another Day Another Night,Klubbingman feat. Beatrix Delgado,Another Day Another Night,2004
bCarolans Concerto,The Chieftains,Music Of The Celtic Harp,1971
Gangsta Lean (Gangstapella),D.R.S.,Gangsta Lean,1993
Cafe deClouet,Galactic,Crazyhorse Mongoose,1998
Hired Security,The Harvard Lampoon Comedians,The Harvard Lampoon Comedy CD - No Escape From Danger,1958
Slipping Away/Here Is Kazmeyer,Information Society,Hack,1990
The Unidentified Flying Object,Perrey And Kingsley,The Out Sound From Way In!,1988
Comfort Creek,Barbara Fairchild,Stories,1950
Cierra Los Ojos Y Juntos Recordemos - Original,Yolandita Monge,Yolandita Monge Selected Hits Vol. 1,1962
bLove Is Gone (Eddie Thoneicks Liberte Mix),David Guetta - Joachim Garraud - Chris Willis,Love Is Gone,1958
Destroy Everything (Album Version),Hatebreed,Supremacy,2006
The Gre(A)t Depression,Anti-Flag,The People or The Gun,2009
See You in the Morning,Pam Thum,Faithful,1988
Automatic,Less Than Jake,Losing Streak,1996
bI Dont Wanna be a War Hero,Anti-Flag,Live at the Fireside Bowl,2003
Bestio Tergum Degero Pt. 3,Pelt,Skullfuck (Bestio Tergum Degero),1939
Kick_ Push II (Album Version),Lupe Fiasco,bLupe Fiascos Food & Liquor,1997
Snapshot Samurai,bHer Majestys Finest,Warning Bell,1964
True Love,Tyrone Taylor,Reggae Max,1939
Introitus: Requiem: Dies Irae,Kuijken Kwartet,Mozart: Requiem KV 626 - Version For String Quartet by Peter Lichtenthal,1990
bYoure My First Lady,T.G. Sheppard,The Very Best Of,1992
bChristmas Wont be the Same Without Johnny,Dr. Elmo,bDr. Elmos Twisted Christmas,1996
Nocturne For Piano No. 5 In B Flat Major_ Op. 37,David Jalbert,Faure: Complete Nocturnes - David Jalbert,1979
Ma Pr\xc3\xa9f\xc3\xa9rence (Live),Julien Clerc,Olympia 94,1994
Hold On,The Jason Bonham Band,MAD HATTER,1992
We Got What You Want,Busta Rhymes,Genesis,2001
East Bay Bounce,Paul Taylor,Nightlife,1936
Teska (Teska),Greek Gypsy Musicians,Music of the Greek Gypsies,2004
Forever,VHS Or Beta,Night On Fire,2004
One Night Alone,Vixen,Vixen,1988
Infant Dreams,Bill Douglas,Jewel Lake,1950
Why,Kol Simcha,Voice Of Joy,1932
All The Way,Joey McIntyre,Talk To Me,1990
Mom,Josh Mullins,bI Wouldnt Buy This Either,1996
Ballroom Floor,Dennis Brown,Ragga With Maximum Respect,1948
Goodnight Irene,Kingston Trio,The M.T.A.,1965
Music In Dreamland,Be Bop Deluxe,Air Age Anthology,1975
Ole Con Ole,Peret,Peret Y Su Rumba,1936
Touch Your Button Carnival Jam,Wyclef Jean featuring will.i.am and Melissa Jim\xc3\xa9nez;Wyclef Jean featuring Machel Montano_ Daniela Mercury_ Black Alex_ and Djakout Mizik,CARNIVAL VOL. II Memoirs of an Immigrant,1966
90er,Headliners,Das Album zum Film,2006
Itinerario,Clementina De Jesus,Nova Bis-Clementina de Jesus,1998
Stephanie Says,The Velvet Underground,The Velvet Underground Story 2CD Set,1985
Music And Politics,The Disposable Heroes Of Hiphoprisy,Hypocrisy Is The Greatest Luxury,1992
Free (lp),Big Audio Dynamite,Planet Bad Greatest Hits,1952
M\xc3\xa1s Y M\xc3\xa1s,Mazz,15 Exitos,2008
Under The Weather,KT Tunstall,Eye To The Telescope,2004
Say Goodbye,Barry Manilow,Here At The Mayflower,1983
Fleur De Paris,Jean Marc Thibault,Chantez,1981
Jahuu_ Gandiva laulaa!,Sabda Brahma,Dham Rockas,1978
After All The Love Is Gone,Alias,Alias,1974
Wake Up Call (Album Version),The Prodigy,Always Outnumbered_ Never Outgunned,2007
Where Are You?,Arthur Tracy,Street Singer,1961
Carita De Rosa,Gertrudis,Teta,2003
Zambele (1997 Digital Remaster),Clara Nunes,Guerreira,1941
bWorld Comes Tumblin Down,The Distillers,The Distillers,2000
Big World,David Saylor,True Reflection,1954
LOVESICK - Obsession in \xc2\xbe Time,Philippe Sarde,Sister Mary Explains It All,2005
All Alone (Live),Gorillaz,Dirty Harry,2005
Jesus Is the Lord,Andrae Crouch,More Of The Best,1981
Pobre diabla (Directo 09),Carlos Baute,Directo en tus manos,1980
The Object Of My Affection,Russ Morgan,Music In The Morgan Manner (Digitally Remastered),1996
Please Come Out Tonight,Phil Collins,Both Sides,1993
Llegaste T\xc3\xba,Huey Dunbar,Music For My Peoples,2000
Celluloid Heroes,Bon Jovi / Ray Davies,Misunderstood,2002
First Day (Album version),Timo Maas,Pictures,2005
Jole Brun,Harry Choates,Fiddle King Of Cajun Swing,1992
Bed Of Roses,Warrant,Cherry Pie,1939
Wives ( LP Version ),Bill Cosby,Revenge,1967
Credits,Pete Miser,What It Be...,1957
Bonita,Barbara Lusch,Barbara Lusch,1982
Indo,Studio,West Coast,1982
Losing track,You Should Go Ahead,Emotional cocktail,2009
Every You Every Me (Infected By The Scourge Of The Earth),Placebo,Every You Every Me,1999
bFly Talkin,Lil Wayne,500 Degreez,1980
You\x19ll Rue The Day,Spade Cooley,King Of Western Swing_ Vol. 4,1981
bTwo of a Kind_ Workin on a Full House,Hushabye Baby,Hushaby Baby: Lullaby Renditions of Garth Brooks,1940
bLArdechoise Aux Cheveux Blanc,Alain Turban,bChanter LArd\xc3\xa8che,1948
Freaxxx,brokeNCYDE,BC 13-EP,2008
Loud & Clear (featuring Defari_ King T & Butch Cassidy),Xzibit,Restless,2000
Pokrusa,Lili Ivanova,Illusion Called Love (Iljuzia narchena Lyubov),1985
Writes Of Winter,Jimmy Page,Outrider,1988
Pedazo De Idiota,Mercedes Castro,Yo Soy La De Sonora,1937
Bro. Bill  (LP Version),Cactus,Cactology The Cactus Collection,1984
bDont Mess With the IRS,Dr. Elmo,Love Death & Taxes,1975
Dancing With Tears In My Eyes 2004 (Nova Mix (Club Version)),Novaspace,Dancing With Tears In My Eyes 2004,2004
Fear Factor (Shiny Happy Jihad),Joe Rogan,Shiny Happy Jihad,2007
Man No Sober (LP Version),Steel Pulse,True Democracy,1982
Sudenkorento -Life On Mars-,Hector,20 Suosikkia / Lumi teki enkelin eteiseen,1973
Like I Never Loved Before,Phil Vassar,Phil Vassar,2000
Brivdiena,Intars Busulis,Kino,1962
Titan,The Bongo Man,Beat Treatment,1948
bI Dont Love You Anymore,George Jones,George Jones-the Best of Vol. 1,1950
Show Some Love Where Is The Love feat. MackaB,Carroll Thompson,The Other Side of Love,1937
Inti Guauqui,Jorge Alfano,Inti: Mystical Music of the Andes,2007
Dying Under A Binary Star,Crematorium,The Process of Endtime,2005
It Gwine Dreada,The Twinkle Brothers,Rasta Pon Top,1943
Sunday In Marin,Chris Camozzi,Windows Of My Soul,1942
Hurry Up And Come,Cocoa Tea,bIsraels King,2008
Quan Tou Tang,Miriam Yeung,Miriam,2004
Da Da Da Da,Tha Liks,X.O. Experience,2001
bWhen Theres A Will_ Theres A Way,Jimmy Johnson,bLivin The Life (Blues Reference),1969
Marrakech,Juan Carmona; Ricardo Larroze,Orillas,1948
Mua rakastan,Murskahumppa,Murskapunkkia,1998
TU MIRADA,Antonio Koudele,Aventura Cubana,1962
bMa vie nest pas la tienne (album),Najoua Belyzel,Au F\xc3\xa9minin,2009
Judge Harsh Blues (Tk. 1),Furry Lewis,Furry Lewis 1927 - 1929,2010
Carolyn & Barnabas,Dark Shadows,House Of Dark Shadows and Night Of Dark Shadows,1947
bIm Glad,Jennifer Lopez,bIm Glad,2002
Singing  Bowls_Saxophone & Voice,Jane Winther,Bardo,1968
Chanson Populaire,Vincent Baguian,Claude Fran\xc3\xa7ois_ Autrement Dit,1989
Theme From Come September (LP Version),Bobby Darin,Things & Other Things,2003
Famous One,Seventh Day Slumber,Take Everything,2009
One Love,David Rose & His Orchestra,In A Mellow Mood,2004
So Say I,Mr Brown,Liar Liar,2009
Big Trouble Upstairs,Pitch Black,Frequencies Fall,1953
Siempre,Reptil,La Noche Del Reptil,1940
One Thing,YZ,The Legend Of Floyd Jones,1995
Sometimes,Les Rythmes Digitales feat. Nik Kershaw,Off The Wall - Ten Years of Wall of Sound,1999
Talk Of The Town,Firehouse,Hold Your Fire,1992
Denk,Samy Deluxe,Verdammtnochma!,2004
bElectric Phase / Hot n Ready / Pack It Up n Go / Cherry / Out In The Street / Let It Roll / Too Hot To Handle,UFO,Parker\s Birthday Live in Texas,1960
124 Stomp,Azukx,Everything Is Everything,2004
You Can Make It (Album Version),Douglas Miller,Living On The Top,1979
The Story Of An Artist,Daniel Johnston,The Late Great Daniel Johnston: Discovered Covered,1982
Many Weapons Many Men,Criminal Class USA is Hush Hush Revolution,Criminal Class USA is Hush Hush Revolution,2007
Ser\xc3\xa1 cuando regreses,Noem\xc3\xad,Tributo a Jos\xc3\xa9 Antonio M\xc3\xa9ndez,1990
Attic Room,Casiotone For The Painfully Alone,Twinkle Echo,2003
A Movie Of A Placid Lake On A Moonless Night in September,Will Ackerman,The Opening Of Doors,1992
Te Vas Angel Mio,Michael Salgado,Un Recuerdo Especial,2001
Firestarter,The Prodigy,Put Your Hands Up! 4,1996
Rakkahin -Be My Love-,Virtuoso,Virtuoso,1975
Testify,Phil Collins,Love Songs,2002
Kaliforn-Eye-A (Feat. Mike Muir),P.o.d,When Angels and Serpents Dance,1952
Mohair Locker Room Pin-Up Boys,Adam Ant,Ants Remastered Boxset,1998
Enslaved By Propaganda,Total Fucking Destruction,Zen And The Art Of Total Fucking Destruction,2007
Stars (GROWTH Ultraviolence Mix),Ultraviolence,Blown Away,2000
R\xc3\xbclpsen Sie Eine Hauptstadt,Tresenlesen,G\xc3\xbcnther,1995
Human Being (1972 demo),New York Dolls,Manhattan Mayhem (a history of the Dolls),2006
bWouldnt Last a Weeg,The Weegs,Meat the Weegs,1947
Tune In,Cutting Edge,Alle Tre [2 Cd],2006
All Hands On Deck part 2: Open Water [Album Version],Funeral For A Friend,bTales Dont Tell Themselves,2007
bDoodlin,Kai Winding,The Incredible Kai Winding Trombones,1961
Hermitage,Pat Metheny,New Chautauqua,1979
Open Arms,Gary Go,Pacha Ibiza,2009
Untitled,Brainchoke,Introspective,1983
The Magic Violin,Hot Club Of Cowtown,Wishful Thinking,2009
I Will Call Upon the Lord,Bill Murk,Praise Keeper,1982
Stampede,He Is Legend,Suck Out The Poison,2006
Chira,Nikos Kalaintzis,The Greek Folk Instruments:Santouri,1952
Booty Bounce,Mister Ries featuring Six Foe,The Old Country,2000
Come On Back Home,Cece Winans,Everlasting Love,1998
Earth Born,Kitaro,Live in Asia,1983
Little Is Much When God Is In It (South African Homecoming Album Version),Gaither Vocal Band,South African Homecoming,1958
Sannyasin,John Mayer,Dhammapada,1976
Gheera Away,Ragheb Alama,bBasha ak,1966
E. Warren,DJ Omega,DJ Omega Classics Part 1,1934
My Harlem Lullaby (Album Version),Mase,Welcome Back,2005
bLifes Railway To Heaven,PATSY CLINE & WILLIE NELSON,Rhinestone Cowboy,1991
Shining,Swans Of Avon,Alive,1967
I Wish I Was A Punk Rocker (With Flowers In My Hair),Sandi Thom,I Wish I Was A Punk Rocker (With Flowers In My Hair),2006
Hello Space Boy,Behemoth,Thelema 6,2000
Dance of the Blue Devils,Les Brown,Classic Years of Les Brown,1959
La Bruja Chafa,Bobby Pulido,El Cazador,1999
The Sound From There,Norman Howard,Burn Baby Burn,1933
Sing Me Softly of the Blues,Richard Galliano_ Jean-Charles Capon_ Gilles Perrin,Blue Rondo \xc3\xa0 la Turk,1937
Splitting The Seconds,Nightswimmer,Can the Mechanical Be Beautiful&?,1933
Shout For Joy  (Celtic Psalms Album Version),bEdens Bridge,Celtic Psalms,1934
La Valse De La Cour (BOF Mayerling),Francis Lai,Mayerling,1955
Best In LA,Marc Shaiman,The Bucket List,2008
bGoin To The River,Alice Cooper,Live! (Digitally Remastered),1982
Locked Away,The Gathering,How To Measure A Planet?,1935
Min Xechnas (Forse),Dakis,Ta Oriaotera Mou Tragoudia,1939
Here We Go Again,H-Town,Imitations Of Life,1984
Rumour (Abstract Hip Hop Mix),bel canto,Magic Box,1996
Coral Fang (Album Version),The Distillers,Coral Fang,2003
The Urban Gospel,Shade Sheist / N.U.N.E. / King Arthur,Informal Introduction,1944
The Second One,Remy Shand,The Way I Feel,2002
18 De Noviembre,Maracaibo 15,Gaitas Platinum,1974
Laakista humppa,Elakelaiset,Humppakonsertto,1995
bHe Dont Care (Hes Stoned),Dan Hicks,20 Hot Licks Hits,1933
One More Time (Kennedy Center Homecoming Version),The Katinas,Kennedy Center Homecoming,1945
Ela Edo Kardia Mou,Irini Merkouri,Aneta,1961
Rich Girl,Daryl Hall & John Oates,Livetime,1976
See What Tomorrow Brings,Arc Angels,Arc Angels,1992
Hindsight,Call To Preserve,From Isolation,2008
New Love,Ziggy Marley And The Melody Makers,The Best of Ziggy Marley And The Melody Makers (1988 - 1993),1987
bIm Your Money (12 Extended Version) (2006 Digital Remaster),Heaven 17,Penthouse And Pavement,1981
Lovely Day,Lit,A Place In The Sun,1999
Com Una Flama,Ai Ai Ai,Neguits_ Angunies I Forats,1994
Los Tres Glopes / The Three Beats (danza),Cachao,Master Sessions Vol. II,1986
Anything For My Baby,Kiss,Gold (1974-1982),2010
Fields Of Athenry,The Shamrock Singers,The Wild Rover,1967
Explode,The Cardigans,I Need Some Fine Wine And You_ You Need To Be Nicer,1998
Tango,Charly Garcia,Rock And Roll Yo,2003
When It Stings,Pictures of Then,And The Wicked Sea,2009
I See The Light (2002 Digital Remaster),Music Explosion,bLittle Bit O Soul - The Best Of,1933
My Baby (Feat. Kanye West),Janet Jackson Featuring Kanye West,Damita Jo,2004
Beni Aglatma,Mustafa Sandal,Araba,1931
The Last Man On Earth,Schoolyard Heroes,Abominations,2007
The Flight of the serpentarius,Bruno Sanfilippo,Sons of the Light,1991
Focus,DJ Isaac,Focus / Backstage,1999
Life,Ill Harmonics,Modern Heart Exhibit,1944
Another Lover,The Last Vegas,Whatever Gets You Off,2009
No Such Thing As Control (Album Version),Beneath The Sky,What Demons Do To Saints,2007
Fear The Sea,The Gathering,Mandylion (Deluxe Edition),1989
2 + 2 = 5,Radiohead,The Best Of,2003
b100 Club 1996 We Love You Beatles - Live,Sex Pistols,Sex Pistols - The Interviews,2004
Karma,Alicia Keys,The Diary Of Alicia Keys,2003
deine liebe,[kaleidoskop],b...wir gehn schon mal vor,1939
Vankina vapauden,Markus,20 Suosikkia / Jos viel\xc3\xa4 oot vapaa,1930
To Pouli,Angela Dimitriou,Thisia Live,1992
Heartbreaker,Free,Chronicles,1972
bPetes Crusade,Light Of The World,The Best Of The Light Of The World,1980
Yo Quiero Contigo,Baby Rasta & Gringo,Sentenciados - Platinum Edition,1930
bBaby_ Its Gonna Cost You,Frenchy,Bumps & Grinds,1957
Goody Goody,Charlie Byrd Trio,bIve Got the World On a String,1940
Sou Vazo Diskola,Natassa Theodoridou,I Ellada Ti Nichta 2 (Greece At Night 2),1936
Money Blues,Joanna Connor,Slidetime,1988
This Is A Stick Up,Ghetto Mafia,Full Blooded Niggaz,1967
Emerald,Bedrock,Emerald,2004
Zeno Beach,Radio Birdman,Zeno Beach,2006
Meteores mouvement de Chroniques de la lumier,Francis Dhomont,bCycle de lerance,1968
Telegrama,Zeca Baleiro,Baladas Do Asfalto e Outros Blue Ao Vivo,2002
Molten,Digital Mystikz,Tectonic Plates 03,2006
It Only Takes A Moment (Album Version),Eddie Cano,Broadway - Right Now!,2004
The Road Goes On Forever,The Highwaymen,The Road Goes On Forever (10th Anniversary Edition),1995
Phrase,Papa Wemba,New morning,1968
The Daddy,Mario Rosenstock,Gift Grub 7,1948
Medicine,Bobaflex,Apologize For Nothing,2005
bDont Waste My Time,John Mayall,Empty Rooms,1970
Love You to Pieces,Lizzy Borden,Love You To Pieces,1985
Sachmagehtsnoch,Dendemann,Die Pf\xc3\xbctze des Eisbergs,2006
Take That!,Richard Smith,Flow,1978
From A Jack To A King,Ned Miller,100 Country Classics,1963
bLAmour Existe Encore,Lara Fabian,Toutes Les Femmes En Moi,2009
Les D\xc3\xa9penaill\xc3\xa9s,Klimperei,Patamo,2007
bHeut Nacht,Spliff,85555,1982
Diamond Eyes (Album Version),Deftones,Diamond Eyes,2010
Una dolce melodia,Franco_ Valeriana,Io e te per sempre,1988
The Witching Hour,John Mayall,STORIES,2002
Love Me,Jars Of Clay,Mini Monsters EP,2006
Leather Prowler,Liars,Liars,2007
Put Down Your Weapons,Yami Bolo,Live In Paris,2000
Underarms,Grandmaster Flash,Ba-Dop-Boom-Bang,1987
Te Necesito,Angelica Maria,Abrazame Fuerte,1971
Terraplane Blues,Scott Ainslie,Terraplane,1999
bLidole des femmes,Pierre Perret,Le Monde de Pierrot,1994
The Harbour,Dario Marianelli,Goodbye Bafana,2007
All Or Nothing  (Wonderful World Album Version),Chris Eaton,To Have And To Hold,1956
Toda Mi Vida,Jay P\xc3\xa9rez,10 de Colecci\xc3\xb3n,1940
La Rosa,Bobby Pulido,Ens\xc3\xa9\xc3\xb1ame,1996
End Of The Beginning,30 Seconds To Mars,A Beautiful Lie + 30 Seconds To Mars,2002
Dio Nisia,Giorgos Sabanis,To Fili Tis Zois,1995
Lift Jesus Up,The Jackson Southernaires,Hear Our Prayers O Lord,1965
Jubilation T. Cornpone,Shelly Manne,bLil Abner,1992
Kicking And Screaming,Funeral For A Friend,Memory And Humanity,2008
Slow And Low,RUN-DMC,King Of Rock,1985
bLookin for My Baby,Little Milton,bBest of 40s and 50s_ Vol. 16,1994
bLifes Blood,Eighteen Visions,Best Of,1997
Black Connect 3,Camp Lo,Another Heist,2009
The Way Of Love (West Coast Diaries Vol. 1 Album Version),Charlie Peacock,West Coast Diaries Vol.1-cass.,1947
Leaving The Docks,Zbigniew Preisner,The Secret Garden,1993
Noche De Paz,SUMO,Obras Cumbres,1987
Village Dance,Vana,A New Day,1956
4 In The Morning,Gwen Stefani,4 In The Morning,2006
Cajun Baby (LP Version),Commander Cody And His Lost Planet Airmen,Tales From The Ozone,1975
